,Date,open,high,low,close,volume,ticker
0,2023-01-10,14.5600,15.2000,14.5600,15.1900,31109866,AAL
1,2023-02-13,16.2500,16.6000,16.2100,16.5100,15649916,AAL
2,2023-01-12,16.0300,16.9000,15.8750,16.8300,96441833,AAL
3,2023-01-13,16.2200,17.0700,16.0101,17.0200,50828019,AAL
4,2023-01-17,16.9000,17.1200,16.7400,17.0800,32875679,AAL
5,2023-01-18,17.5300,17.6400,16.5950,16.6400,42352629,AAL
6,2023-01-19,16.4120,16.4900,16.0100,16.2800,32630227,AAL
7,2023-01-20,16.3700,16.5350,16.1400,16.3400,22487696,AAL
8,2023-01-23,16.3900,16.4400,16.1600,16.1700,23408546,AAL
9,2023-01-24,16.0100,16.4300,15.9600,16.0200,21641482,AAL
10,2023-01-26,16.5400,16.7400,15.7300,16.6100,47488940,AAL
11,2023-02-15,16.6400,16.8400,16.5800,16.8000,12470209,AAL
12,2023-01-27,16.5350,16.8100,16.3700,16.4300,26257034,AAL
13,2023-01-31,16.0100,16.2400,15.9100,16.1400,19866928,AAL
14,2023-02-01,16.0400,16.7200,15.9200,16.6900,26925305,AAL
15,2023-02-02,16.7300,17.3199,16.7200,17.0600,31552207,AAL
16,2023-02-03,16.8500,17.2200,16.8500,17.0200,22108170,AAL
17,2023-02-06,16.8800,17.0900,16.7900,16.9200,19340755,AAL
18,2023-02-07,16.9200,17.0300,16.5400,16.9600,19053422,AAL
19,2023-02-08,17.2600,17.4400,16.8000,16.9700,20774171,AAL
20,2023-02-09,17.1100,17.1600,16.5949,16.6600,17558748,AAL
21,2023-02-14,16.4900,16.8500,16.3300,16.7900,17467935,AAL
22,2023-03-22,14.3600,14.4250,13.7900,13.8200,21378145,AAL
23,2023-02-16,16.5900,16.6700,16.3600,16.3900,15054680,AAL
24,2023-01-30,16.2900,16.6000,15.9101,15.9600,23585954,AAL
25,2023-03-20,14.0200,14.2100,13.8650,13.9600,28076249,AAL
26,2023-03-02,15.8800,16.1500,15.7300,16.1200,11742387,AAL
27,2023-02-17,16.3800,16.5600,16.1500,16.3600,21921286,AAL
28,2023-02-21,16.0600,16.2000,15.5200,15.6900,24449005,AAL
29,2023-02-22,15.6400,15.8200,15.4150,15.5600,22273807,AAL
30,2023-02-23,15.6600,16.1700,15.5000,15.8700,25607057,AAL
31,2023-02-24,15.5100,15.6700,15.3600,15.5600,20471831,AAL
32,2023-02-27,15.7400,15.8299,15.5500,15.6300,15494328,AAL
33,2023-02-28,15.5500,16.0500,15.5300,15.9800,15597789,AAL
34,2023-03-01,15.9300,16.0500,15.7500,16.0300,11730531,AAL
35,2023-03-06,16.4700,16.5500,16.1000,16.1200,13504758,AAL
36,2023-03-07,16.2400,16.6600,16.1400,16.3600,17951322,AAL
37,2023-03-09,16.5500,16.8000,15.8450,15.8800,18504951,AAL
38,2023-03-03,16.3700,16.5500,16.1400,16.3600,14389524,AAL
39,2023-06-02,14.9000,15.0700,14.6400,14.8700,31077149,AAL
40,2023-03-08,16.4100,16.6000,16.2701,16.5900,11399587,AAL
41,2023-03-10,15.9800,16.0000,15.1100,15.4600,27280184,AAL
42,2023-03-13,15.0200,15.2600,14.6900,14.8500,32541745,AAL
43,2023-03-14,15.0500,15.3200,14.4850,14.6600,35258905,AAL
44,2023-03-15,14.2400,14.4200,13.5100,13.8600,41843676,AAL
45,2023-03-16,13.7000,14.2300,13.6250,14.1200,24581418,AAL
46,2023-03-17,13.9500,14.1700,13.6700,13.9800,31268835,AAL
47,2023-03-21,14.2900,14.5400,14.2450,14.3700,17788580,AAL
48,2023-02-10,16.4100,16.4308,16.1400,16.2800,14210090,AAL
49,2023-03-27,13.9600,14.0550,13.7100,13.9400,17126662,AAL
50,2023-01-25,15.9700,16.4800,15.9000,16.2600,34131047,AAL
51,2023-05-01,13.6000,14.0300,13.5200,13.8900,29101810,AAL
52,2023-04-27,12.9700,13.4000,12.7500,12.8800,48367998,AAL
53,2023-03-28,13.9050,14.0793,13.8500,13.9800,11552999,AAL
54,2023-03-29,14.1800,14.3900,14.0550,14.3500,15906984,AAL
55,2023-03-30,14.5600,14.7000,14.4600,14.4700,13673518,AAL
56,2023-03-31,14.6100,14.7600,14.5600,14.7500,12348748,AAL
57,2023-04-03,14.5200,14.6200,14.2800,14.4200,14317355,AAL
58,2023-04-04,14.5500,14.5500,14.0150,14.1600,16124091,AAL
59,2023-04-05,14.0600,14.1361,13.7000,13.8900,19213339,AAL
60,2023-04-06,13.9500,14.1800,13.8700,14.0100,14066992,AAL
61,2023-03-23,14.0000,14.1800,13.4700,13.6300,25033397,AAL
62,2023-04-10,13.9800,14.1700,13.9100,14.1500,18832270,AAL
63,2023-04-11,14.2200,14.5100,14.0800,14.3200,17518169,AAL
64,2023-04-13,13.1500,13.1800,12.7650,12.9500,47388887,AAL
65,2023-04-14,12.9800,13.0550,12.7300,12.7900,27538584,AAL
66,2023-04-17,12.8550,13.1700,12.8000,13.1000,26063276,AAL
67,2023-04-18,13.2000,13.3000,12.9700,13.2900,24684684,AAL
68,2023-04-19,13.1300,13.6800,13.1300,13.6300,31596477,AAL
69,2023-04-20,13.4700,13.7000,13.3100,13.3200,24240061,AAL
70,2023-04-21,13.3100,13.4175,13.1600,13.4000,16548049,AAL
71,2023-04-24,13.4200,13.5600,13.0500,13.3200,25019811,AAL
72,2023-04-25,13.1600,13.1699,12.8100,12.8400,33615567,AAL
73,2023-01-11,15.0900,15.5000,15.0500,15.3400,28664334,AAL
74,2023-04-12,13.8500,13.8500,12.9100,13.0000,96958824,AAL
75,2023-05-02,13.8300,13.8700,13.5200,13.7700,22469820,AAL
76,2023-04-26,12.9000,13.0800,12.6500,12.7400,33135000,AAL
77,2023-05-11,14.2600,14.2872,14.0246,14.0700,17049607,AAL
78,2023-05-03,13.7900,14.0381,13.6800,13.7900,20844826,AAL
79,2023-05-04,13.7900,13.8893,13.3500,13.5100,22983677,AAL
80,2023-05-05,13.7300,13.9500,13.6250,13.8700,20618719,AAL
81,2023-05-08,14.3400,14.6550,14.2303,14.3600,34586897,AAL
82,2023-05-09,14.3800,14.5600,14.2100,14.4700,19682731,AAL
83,2023-05-10,14.6700,14.7000,14.0500,14.3400,21469097,AAL
84,2023-04-28,12.9400,13.7000,12.8500,13.6400,45057356,AAL
85,2023-05-12,14.1900,14.1950,13.8700,14.0200,16743991,AAL
86,2023-05-15,14.0400,14.3150,13.9200,14.2800,14994068,AAL
87,2023-05-18,14.9100,15.0750,14.8000,15.0500,21604459,AAL
88,2023-05-16,14.2100,14.4500,13.9650,14.2000,20303230,AAL
89,2023-05-19,15.0700,15.0900,14.6250,14.8200,17879693,AAL
90,2023-05-22,14.9150,14.9800,14.1000,14.3800,28517222,AAL
91,2023-05-23,14.3500,14.6350,14.0700,14.0700,28899362,AAL
92,2023-05-24,13.9800,13.9800,13.5500,13.8000,30501762,AAL
93,2023-05-25,13.8800,14.3900,13.8000,14.3800,29719873,AAL
94,2023-05-26,14.4100,14.5400,14.2800,14.3500,17083810,AAL
95,2023-05-30,14.4400,14.7500,14.4200,14.6200,20424630,AAL
96,2023-05-31,15.0900,15.1050,14.4850,14.7800,31677390,AAL
97,2023-06-01,14.8700,14.8800,14.6100,14.7000,21239146,AAL
98,2023-05-17,14.4000,15.0100,14.3650,14.9100,34905458,AAL
99,2023-03-24,13.5000,13.7400,13.3600,13.7200,19901133,AAL
100,2023-04-14,164.5900,166.3200,163.8200,165.2100,49386480,AAPL
101,2023-04-13,161.6300,165.8000,161.4200,165.5600,68445649,AAPL
102,2023-04-20,166.0900,167.8700,165.5600,166.6500,52456377,AAPL
103,2023-04-25,165.1900,166.3050,163.7300,163.7700,48714063,AAPL
104,2023-02-16,153.5100,156.3300,153.3475,153.7100,68167942,AAPL
105,2023-04-21,165.0500,166.4521,164.4900,165.0200,58337341,AAPL
106,2023-04-26,163.0550,165.2800,162.8000,163.7600,44105745,AAPL
107,2023-04-19,165.8000,168.1600,165.5400,167.6300,47720166,AAPL
108,2023-04-18,166.1000,167.4100,165.6500,166.4700,49923008,AAPL
109,2023-04-24,165.0000,165.6000,163.8900,165.3300,41949581,AAPL
110,2023-04-11,162.3500,162.3600,160.5100,160.8000,47644217,AAPL
111,2023-04-27,165.1900,168.5600,165.1900,168.4100,64902329,AAPL
112,2023-04-10,161.4200,162.0300,160.0800,162.0300,47716882,AAPL
113,2023-04-06,162.4300,164.9584,162.0000,164.6600,45390123,AAPL
114,2023-04-04,166.5950,166.8400,165.1100,165.6300,46278295,AAPL
115,2023-04-03,164.2700,166.2900,164.2200,166.1700,56976187,AAPL
116,2023-03-31,162.4400,165.0000,161.9100,164.9000,68749792,AAPL
117,2023-03-30,161.5300,162.4700,161.2710,162.3600,49501689,AAPL
118,2023-03-29,159.3700,161.0500,159.3500,160.7700,51305691,AAPL
119,2023-03-28,157.9700,158.4900,155.9800,157.6500,45992152,AAPL
120,2023-04-12,161.2200,162.0600,159.7800,160.1000,50133062,AAPL
121,2023-03-22,159.3000,162.1400,157.8100,157.8300,75701811,AAPL
122,2023-06-01,177.7000,180.1200,176.9306,180.0900,68901809,AAPL
123,2023-05-01,169.2800,170.4500,168.6400,169.5900,52472936,AAPL
124,2023-05-12,173.6200,174.0600,171.0000,172.5700,45533138,AAPL
125,2023-05-31,177.3250,179.3500,176.7600,177.2500,99313268,AAPL
126,2023-05-15,173.1600,173.2100,171.4700,172.0700,37266659,AAPL
127,2023-05-30,176.9600,178.9900,176.5700,177.3000,55964401,AAPL
128,2023-05-26,173.3200,175.7700,173.1100,175.4300,54834975,AAPL
129,2023-05-25,172.4100,173.8950,171.6900,172.9900,56058258,AAPL
130,2023-05-24,171.0900,172.4183,170.5200,171.8400,45143488,AAPL
131,2023-05-23,173.1300,173.3794,171.2750,171.5600,50747263,AAPL
132,2023-05-22,173.9800,174.7100,173.4500,174.2000,43570932,AAPL
133,2023-05-19,176.3900,176.3900,174.9400,175.1600,55809475,AAPL
134,2023-05-18,173.0000,175.2400,172.5800,175.0500,65496657,AAPL
135,2023-04-28,168.4900,169.8500,167.8801,169.6800,55275851,AAPL
136,2023-05-17,171.7100,172.9250,170.4201,172.6900,57951604,AAPL
137,2023-03-24,158.8600,160.3400,157.8500,160.2500,59256343,AAPL
138,2023-05-11,173.8500,174.5900,172.1700,173.7500,49514676,AAPL
139,2023-05-10,173.0200,174.0300,171.9000,173.5550,53724501,AAPL
140,2023-05-09,173.0500,173.5400,171.6000,171.7700,45326874,AAPL
141,2023-05-08,172.4800,173.8500,172.1100,173.5000,55962793,AAPL
142,2023-05-05,170.9750,174.3000,170.7600,173.5700,113453171,AAPL
143,2023-05-04,164.8900,167.0400,164.3100,165.7900,81235427,AAPL
144,2023-05-03,169.5000,170.9200,167.1600,167.4500,65136018,AAPL
145,2023-05-02,170.0900,170.3500,167.5400,168.5400,48425696,AAPL
146,2023-05-16,171.9900,173.1383,171.7991,172.0700,42110293,AAPL
147,2023-04-17,165.0900,165.3900,164.0300,165.2300,40713618,AAPL
148,2023-03-27,159.9400,160.7700,157.8700,158.2800,52390266,AAPL
149,2023-04-05,164.7400,165.0500,161.8000,163.7600,51511744,AAPL
150,2023-03-02,144.3800,146.7100,143.9000,145.9100,52279761,AAPL
151,2023-01-24,140.3050,143.1600,140.3000,142.5300,66435142,AAPL
152,2023-02-15,153.1100,155.5000,152.8800,155.3300,65669252,AAPL
153,2023-02-06,152.5750,153.1000,150.7800,151.7300,69858306,AAPL
154,2023-02-03,148.0300,157.3800,147.8300,154.5000,154357337,AAPL
155,2023-02-02,148.9000,151.1800,148.1700,150.8200,118338980,AAPL
156,2023-02-01,143.9700,146.6100,141.3200,145.4300,77663633,AAPL
157,2023-01-31,142.7000,144.3400,142.2800,144.2900,65874459,AAPL
158,2023-01-30,144.9550,145.5500,142.8500,143.0000,64015274,AAPL
159,2023-01-27,143.1550,147.2300,143.0800,145.9300,70555843,AAPL
160,2023-01-26,143.1700,144.2500,141.9000,143.9600,54105068,AAPL
161,2023-03-21,157.3200,159.4000,156.5400,159.2800,73938285,AAPL
162,2023-01-25,140.8900,142.4300,138.8100,141.8600,65799349,AAPL
163,2023-01-23,138.1200,143.3150,137.9000,141.1100,81760313,AAPL
164,2023-01-12,133.8800,134.2600,131.4400,133.4100,71379648,AAPL
165,2023-01-20,135.2800,138.0200,134.2200,137.8700,80223626,AAPL
166,2023-02-13,150.9520,154.2600,150.9200,153.8500,62199013,AAPL
167,2023-02-10,149.4600,151.3401,149.2200,151.0100,57450708,AAPL
168,2023-06-02,181.0300,181.7800,179.2600,180.9500,61996913,AAPL
169,2023-02-14,152.1200,153.7700,150.8600,153.2000,61707573,AAPL
170,2023-01-13,132.0300,134.9200,131.6600,134.7600,57809719,AAPL
171,2023-01-17,134.8300,137.2900,134.1300,135.9400,63646627,AAPL
172,2023-01-18,136.8150,138.6100,135.0300,135.2100,69672800,AAPL
173,2023-02-07,150.6400,155.2300,150.6400,154.6500,83322551,AAPL
174,2023-01-10,130.2600,131.2636,128.1200,130.7300,63896155,AAPL
175,2023-01-19,134.0800,136.2500,133.7700,135.2700,58280413,AAPL
176,2023-03-17,156.0800,156.7400,154.2800,155.0000,98944633,AAPL
177,2023-03-16,152.1600,156.4600,151.6400,155.8500,76254419,AAPL
178,2023-03-15,151.1900,153.2450,149.9200,152.9900,77167866,AAPL
179,2023-03-14,151.2800,153.4000,150.1000,152.5900,73695893,AAPL
180,2023-03-13,147.8050,153.1400,147.7000,150.4700,84457122,AAPL
181,2023-03-10,150.2100,150.9400,147.6096,148.5000,68572400,AAPL
182,2023-03-09,153.5590,154.5350,150.2250,150.5900,53833582,AAPL
183,2023-03-08,152.8100,153.4700,151.8300,152.8700,47204791,AAPL
184,2023-03-23,158.8300,161.5501,157.6800,158.9300,67622060,AAPL
185,2023-03-07,153.7000,154.0299,151.1300,151.6000,56182028,AAPL
186,2023-03-03,148.0450,151.1100,147.3300,151.0300,70732297,AAPL
187,2023-03-01,146.8300,147.2285,145.0100,145.3100,55478991,AAPL
188,2023-02-09,153.7750,154.3300,150.4200,150.8700,56007143,AAPL
189,2023-02-28,147.0500,149.0800,146.8300,147.4100,50546998,AAPL
190,2023-02-27,147.7100,149.1700,147.4500,147.9200,44998470,AAPL
191,2023-02-24,147.1100,147.1900,145.7202,146.7100,55469606,AAPL
192,2023-02-23,150.0900,150.3400,147.2400,149.4000,48394249,AAPL
193,2023-02-22,148.8700,149.9500,147.1600,148.9100,51011305,AAPL
194,2023-02-21,150.2000,151.3000,148.4050,148.4800,58867230,AAPL
195,2023-02-17,152.3500,153.0000,150.8500,152.5500,59144118,AAPL
196,2023-03-06,153.7850,156.3000,153.4600,153.8300,87558028,AAPL
197,2023-01-11,131.2500,133.5100,130.4600,133.4900,69458949,AAPL
198,2023-02-08,153.8800,154.5800,151.1680,151.9200,64120079,AAPL
199,2023-03-20,155.0700,157.8200,154.1500,157.4000,73641415,AAPL
200,2023-04-14,102.0700,103.2013,101.1100,102.5100,51450522,AMZN
201,2023-04-17,103.1600,103.7300,101.5900,102.7400,39791535,AMZN
202,2023-04-18,103.9500,104.2000,101.5200,102.3000,39790518,AMZN
203,2023-04-19,101.5800,105.1200,101.3900,104.3000,58398890,AMZN
204,2023-02-15,99.0900,101.1700,98.4500,101.1600,48053879,AMZN
205,2023-04-21,106.1000,108.1500,105.0800,106.9600,86774185,AMZN
206,2023-04-24,107.6550,109.2300,105.0700,106.2100,69575610,AMZN
207,2023-04-13,98.9500,102.5700,98.7100,102.4000,67925138,AMZN
208,2023-04-20,103.5300,105.2500,103.2100,103.8100,57696866,AMZN
209,2023-04-12,100.4000,100.5100,97.7050,97.8300,56735007,AMZN
210,2023-04-04,102.7500,104.2000,102.1100,103.9500,48662496,AMZN
211,2023-04-25,104.9100,105.4500,102.4500,102.5700,65026818,AMZN
212,2023-04-06,100.7500,102.3817,99.8008,102.0600,43808020,AMZN
213,2023-04-05,103.9100,103.9100,100.7506,101.1000,45175393,AMZN
214,2023-04-11,100.8000,101.0000,99.0100,99.9200,60417847,AMZN
215,2023-04-03,102.3000,103.2900,101.4300,102.4100,41135733,AMZN
216,2023-03-31,102.1600,103.4900,101.9500,103.2900,56750317,AMZN
217,2023-03-30,101.5500,103.0400,101.0100,102.0000,53633398,AMZN
218,2023-03-29,98.6900,100.4218,98.5600,100.2500,49783279,AMZN
219,2023-03-28,98.1100,98.4400,96.2900,97.2400,38720050,AMZN
220,2023-05-01,104.9500,105.2300,101.8200,102.0500,74728096,AMZN
221,2023-03-23,100.4300,101.0600,97.6200,98.7100,57559310,AMZN
222,2023-04-10,100.9600,102.2000,99.5700,102.1700,37261185,AMZN
223,2023-04-26,105.0400,106.6200,104.1000,104.9800,71821215,AMZN
224,2023-05-03,103.7350,105.9600,103.2800,103.6500,65051925,AMZN
225,2023-03-24,98.0650,98.3000,96.4000,98.1300,56144801,AMZN
226,2023-05-15,111.1500,112.2900,109.2500,111.2000,53011145,AMZN
227,2023-05-31,121.4500,122.0400,119.1700,120.5800,71769273,AMZN
